020	\\	$z9780813034669
020	\\	$a9780813045849 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
043	\\	$an-us---
049	\\	$aPALS-EBRARY
050	14	$aE743$b.S4327 2010eb
082	04	$a306.20973$222
245	00	$aSelling war in a media age :$bthe presidency and public opinion in the American century /$cedited by Kenneth Osgood and Andrew K. Frank ; afterword by David Halberstam.
264	\1	$aGainesville, Florida :$bUniversity Press of Florida,$c2010.
264	\4	$c{copy}2010
300	\\	$a1 online resource (291 pages)
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
588	\\	$aDescription based on print version record.
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aPresidents$zUnited States$xHistory$y20th century.
650	\0	$aPresidents$zUnited States$xPublic opinion$xHistory$y20th century.
650	\0	$aRhetoric$xPolitical aspects$zUnited States$xHistory$y20th century.
650	\0	$aPublic opinion$zUnited States$xHistory$y20th century.
650	\0	$aMass media and war$zUnited States$xHistory$y20th century.
655	\0	$aElectronic books.
700	1\	$aOsgood, Kenneth Alan,$d1971-$eeditor.
700	1\	$aFrank, Andrew,$d1970-$eeditor.
700	1\	$aHalberstam, David,$eauthor of afterword,$ecolophon, etc.
776	08	$iPrint version:$tSelling war in a media age : the presidency and public opinion in the American century.$dGainesville, Florida : University Press of Florida, c2010 $hxii, 278 pages $z9780813034669 $w2010001918
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10995797$zConnect to this resource:
907	\\	$a.b17715933$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$gflu$h0$i0
910	\\	$aMARS
		
LDR		01926nam  2200469 i 4500
001		ocm00999999
003		OCoLC
005		20151122075033.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		150107t20142014enk\\\\\ob\\\\001\0\eng\d
020	\\	$z9781783740284
020	\\	$z9781783740277
020	\\	$z9781783740291 (PDF)
020	\\	$z9781783740307 (epub)
